inst, format, opcode, funct3, funct7
add, R, 0b0110011, 0x0, 0x00
sub, R, 0b0110011, 0x0, 0x20
xor, R, 0b0110011, 0x4, 0x00
or, R, 0b0110011, 0x6, 0x00
and, R, 0b0110011, 0x7, 0x00
sll, R, 0b0110011, 0x1, 0x00
srl, R, 0b0110011, 0x5, 0x00
sra, R, 0b0110011, 0x5, 0x20
slt, R, 0b0110011, 0x2, 0x00
addi, I, 0b0010011, 0x0, 0x00
xori, I, 0b0010011, 0x4, 0x00
ori, I, 0b0010011, 0x6, 0x00
andi, I, 0b0010011, 0x7, 0x00
slli, I, 0b0010011, 0x1, 0x00
srli, I, 0b0010011, 0x5, 0x00
srai, I, 0b0010011, 0x5, 0x20
lw, I, 0b0000011, 0x2, 0x00
sw, S, 0b0100011, 0x2, 0x00
beq, SB, 0b1100011, 0x0, 0x00
bne, SB, 0b1100011, 0x1, 0x00
blt, SB, 0b1100011, 0x4, 0x00
bge, SB, 0b1100011, 0x5, 0x00
jal, UJ, 0b1101111, 0x0, 0x00
jalr, I, 0b1100111, 0x0, 0x00
lui, U, 0b0110111, 0x0, 0x00
auipc, U, 0b0010111, 0x0, 0x00
csrrw, I, 0b1110011, 0x1, 0x00
csrrs, I, 0b1110011, 0x2, 0x00
csrrc, I, 0b1110011, 0x3, 0x00
ecall, I, 0b1110011, 0x0, 0x00
ebreak, I, 0b1110011, 0x0, 0x01
